id,label,gender
1,Apothecary,male
2,Attendants,unstated
3,Attendants.Prince,unstated
4,Benvolio,male
5,Boy,male
6,Capulet,male
7,Chorus,unstated
8,Citizens,unstated
9,Cousin,male
10,Friarjohn,male
11,Friarlawrence,male
12,Guests,unstated
13,Juliet,female
14,Ladycapulet,female
15,Ladymontague,female
16,Maskers,unstated
17,Mercutio,male
18,Montague,male
19,Musicians,unstated
20,Nurse,female
21,Paris,male
22,Petruchio,male
23,Princeescalus,male
24,Romeo,male
25,Servants,unstated
26,Servants.Capulet,unstated
27,Servants.Capulet.Gregory,male
28,Servants.Capulet.Peter,male
29,Servants.Capulet.Sampson,male
30,Servants.Capulet.X.1,unstated
31,Servants.Capulet.X.2,unstated
32,Servants.Montague,unstated
33,Servants.Montague.1,unstated
34,Servants.Montague.Abram,male
35,Servants.Montague.Balthasar,male
36,Servants.Paris.1,male
37,Servants.Tybalt.1,unstated
38,Tybalt,male
39,Watchmen,male
40,Watchmen.0.2,male
41,Watchmen.0.3,male